,date,Ticker,COMPANY,GICS Sector,SDG_1,SDG_2,SDG_3,SDG_4,SDG_5,SDG_6,SDG_7,SDG_8,SDG_9,SDG_10,SDG_11,SDG_12,SDG_13,SDG_14,SDG_15,SDG_16,SDG_17,SDG_Mean,MA_7day_1,MA_7day_2,MA_7day_3,MA_7day_4,MA_7day_5,MA_7day_6,MA_7day_7,MA_7day_8,MA_7day_9,MA_7day_10,MA_7day_11,MA_7day_12,MA_7day_13,MA_7day_14,MA_7day_15,MA_7day_16,MA_7day_17,MA_7day_Mean,MA_60day_1,MA_60day_2,MA_60day_3,MA_60day_4,MA_60day_5,MA_60day_6,MA_60day_7,MA_60day_8,MA_60day_9,MA_60day_10,MA_60day_11,MA_60day_12,MA_60day_13,MA_60day_14,MA_60day_15,MA_60day_16,MA_60day_17,MA_60day_Mean,SDG_1_std,SDG_2_std,SDG_3_std,SDG_4_std,SDG_5_std,SDG_6_std,SDG_7_std,SDG_8_std,SDG_9_std,SDG_10_std,SDG_11_std,SDG_12_std,SDG_13_std,SDG_14_std,SDG_15_std,SDG_16_std,SDG_17_std,SDG_std_Mean,SDG_1_count,SDG_2_count,SDG_3_count,SDG_4_count,SDG_5_count,SDG_6_count,SDG_7_count,SDG_8_count,SDG_9_count,SDG_10_count,SDG_11_count,SDG_12_count,SDG_13_count,SDG_14_count,SDG_15_count,SDG_16_count,SDG_17_count,SDG_count_Mean
887,2019-01-07,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.12681196019798616,,,,0.1448231195659651,0.047259938278956595,0.3087741340450924,0.007235931605384393,0.1481124521244641,-0.2416981679644942,,,,-0.025605476696705813,,0.08833290164237456,,,0.24633972958374026,,,,,0.23800451722479793,,0.24654659976369184,0.3594070098209243,,,,,0.1294507692990233,,0.28663928947107215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,2019-01-08,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.12681196019798616,,,,0.1448231195659651,0.047259938278956595,0.3087741340450924,0.007235931605384393,0.1481124521244641,-0.2416981679644942,,,,-0.025605476696705813,,0.08833290164237456,,,0.24633972958374026,,,,,0.23800451722479793,,0.24654659976369184,0.3594070098209243,,,,,0.1294507692990233,,0.28663928947107215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,2019-01-09,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.12681196019798616,,,,0.1448231195659651,0.047259938278956595,0.3087741340450924,0.007235931605384393,0.1481124521244641,-0.2416981679644942,,,,-0.025605476696705813,,0.08833290164237456,,,0.24633972958374026,,,,,0.23800451722479793,,0.24654659976369184,0.3594070098209243,,,,,0.1294507692990233,,0.28663928947107215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,2019-01-10,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.12681196019798616,,,,0.1448231195659651,0.047259938278956595,0.3087741340450924,0.007235931605384393,0.1481124521244641,-0.2416981679644942,,,,-0.025605476696705813,,0.08833290164237456,,,0.24633972958374026,,,,,0.23800451722479793,,0.24654659976369184,0.3594070098209243,,,,,0.1294507692990233,,0.28663928947107215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,2019-01-11,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.12681196019798616,,,,0.1448231195659651,0.047259938278956595,0.3087741340450924,0.007235931605384393,0.1481124521244641,-0.2416981679644942,,,,-0.025605476696705813,,0.08833290164237456,,,0.24633972958374026,,,,,0.23800451722479793,,0.24654659976369184,0.3594070098209243,,,,,0.1294507692990233,,0.28663928947107215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,2019-01-12,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.12681196019798616,,,,0.1448231195659651,0.047259938278956595,0.3087741340450924,0.007235931605384393,0.1481124521244641,-0.2416981679644942,,,,-0.025605476696705813,,0.08833290164237456,,,0.24633972958374026,,,,,0.23800451722479793,,0.24654659976369184,0.3594070098209243,,,,,0.1294507692990233,,0.28663928947107215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,2019-01-13,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.12681196019798616,,,,0.1448231195659651,0.047259938278956595,0.3087741340450924,0.007235931605384393,0.1481124521244641,-0.2416981679644942,,,,-0.025605476696705813,,0.08833290164237456,,,0.24633972958374026,,,,,0.23800451722479793,,0.24654659976369184,0.3594070098209243,,,,,0.1294507692990233,,0.28663928947107215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,2019-01-14,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.12681196019798616,,,,0.1448231195659651,0.047259938278956595,0.3087741340450924,0.007235931605384393,0.1481124521244641,-0.2416981679644942,,,,-0.025605476696705813,,0.08833290164237456,,,0.24633972958374026,,,,,0.23800451722479793,,0.24654659976369184,0.3594070098209243,,,,,0.1294507692990233,,0.28663928947107215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,2019-01-15,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,-3.8809831824062098,-3.8809831824062098,-2.1643721882180302,,,,,0.4054418310922174,-3.8809831824062098,,-3.8809831824062098,-3.8809831824062098,,,,-2.1643721882180302,,-2.916027307171862,,,-0.05564803187757647,,,,0.1448231195659651,0.22716965547834228,-0.09231139672729188,0.007235931605384393,-0.15343648364920245,-0.5794320528129904,,,,-0.18917152771625062,,-0.12685285947979527,,,0.19137453604217672,,,,,0.24910312852106728,0.20671451051330111,0.24654659976369184,0.2733017756856204,,,,,0.07759044531456766,,0.24187625612311092,2.0,2.0,2.4276545492996866,,,,,0.7452026330407606,2.0,,2.0,2.0,,,,2.4276545492996866,,1.9500639664550168,1.0,1.0,2.0,,,,,3.0,1.0,,1.0,1.0,,,,2.0,,1.5
896,2019-01-16,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,0.546448087431695,,,,,,,,,,0.546448087431695,,,-0.05564803187757647,,,,0.1448231195659651,0.3912280719252573,-0.09231139672729188,0.007235931605384393,-0.15343648364920245,-0.5794320528129904,,,,-0.18917152771625062,,-0.10372741039083028,,,0.19137453604217672,,,,,0.26548960489667095,0.20671451051330111,0.24654659976369184,0.2733017756856204,,,,,0.07759044531456766,,0.2444699426696286,,,,,,,,0.772794296378742,,,,,,,,,,0.772794296378742,,,,,,,,2.0,,,,,,,,,,2.0
